addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
吉林省,长春市,宽城区,群英街道,125.3267286,43.9129969,30,73,98,168,201,61,14,6,0,11,34,3,2,10,95,22,1375,7,14,12,27,11,25,26,15,0,0,0,0,5,0,0,0,12,3,213,7,8,6425992127,9515282,长春市宽城区,长春市宽城区群英街道,20.0,30.0,11.0,20.0,81.0,70.8,51.954504504504506,47.34024767801857
吉林省,长春市,宽城区,兴业街道,125.3327702,43.9316339,45,66,29,91,122,29,1,1,2,3,18,2,0,0,17,11,463,6,11,2,2,4,15,18,0,0,0,0,1,2,0,0,0,1,2,66,2,3,6425992132,9515287,长春市宽城区,长春市宽城区兴业街道,20.0,30.0,16.0,20.0,86.0,70.8,51.954504504504506,47.34024767801857
吉林省,长春市,宽城区,凯旋街道,125.3159952,43.9346079,41,54,23,77,127,26,1,0,3,3,18,2,0,0,11,12,403,6,11,0,2,11,14,25,3,0,0,1,0,3,2,0,0,1,2,20,3,8,6425992121,9515277,长春市宽城区,长春市宽城区凯旋街道,20.0,28.0,16.0,20.0,84.0,70.8,51.954504504504506,47.34024767801857
吉林省,长春市,宽城区,团山街道,125.3427752,43.9523604,27,30,15,71,65,25,6,0,1,1,5,1,0,0,3,8,88,7,13,0,4,0,4,9,1,0,0,0,0,0,0,0,0,1,2,2,3,3,6425992128,9515283,长春市宽城区,长春市宽城区团山街道,20.0,28.0,6.0,17.0,71.0,70.8,51.954504504504506,47.34024767801857
吉林省,长春市,宽城区,柳影街道,125.2989161,43.9420584,52,39,41,61,118,15,1,0,3,3,13,2,0,0,4,7,91,4,11,2,14,6,12,20,0,0,0,1,0,1,0,0,0,0,2,1,2,4,6425992124,9515279,长春市宽城区,长春市宽城区柳影街道,20.0,28.0,10.0,17.200000000000003,75.2,70.8,51.954504504504506,47.34024767801857
吉林省,长春市,宽城区,欣园街道,125.1768937,43.982136,0,0,8,22,47,1,0,0,0,0,0,0,0,0,0,3,39,4,5,0,0,5,3,20,0,0,0,0,0,0,0,0,0,0,1,3,2,3,6425992133,9515288,长春市宽城区,长春市宽城区欣园街道,18.0,26.0,0.0,9.2,53.2,70.8,51.954504504504506,47.34024767801857
吉林省,长春市,宽城区,长德街道,125.5102508,44.1325041,10,2,28,35,20,0,0,0,1,0,0,0,0,0,0,3,11,5,9,2,0,10,4,13,0,0,0,1,0,0,0,0,0,0,1,10,4,8,11644755257,17241172,长春市宽城区,长春市宽城区长德街道,18.0,21.9,5.0,10.1,55.0,70.8,51.954504504504506,47.34024767801857
吉林省,长春市,宽城区,新广街道,125.3197837,43.8986619,28,93,117,202,272,95,32,6,2,18,44,2,5,35,121,45,2223,9,15,0,16,29,31,56,15,10,3,0,5,11,0,2,3,27,5,522,5,10,6425992130,9515285,长春市宽城区,长春市宽城区新广街道,20.0,30.0,25.0,20.0,95.0,70.8,51.954504504504506,47.34024767801857
吉林省,长春市,宽城区,新隆街道,125.27959,43.9344892,29,33,41,57,83,0,3,0,2,2,6,2,0,0,1,6,59,3,9,2,4,9,9,12,0,0,0,1,0,1,0,0,0,0,1,1,3,3,11645282286,17242087,长春市宽城区,长春市宽城区新隆街道,20.0,25.0,10.0,14.0,69.0,70.8,51.954504504504506,47.34024767801857
吉林省,长春市,宽城区,长新街道,125.325878,43.9211155,34,65,66,134,171,53,9,4,1,7,27,2,2,3,55,14,1062,7,14,8,15,4,11,35,3,0,0,0,0,8,0,0,0,1,2,212,4,4,11645282300,17242088,长春市宽城区,长春市宽城区长新街道,20.0,30.0,11.0,20.0,81.0,70.8,51.954504504504506,47.34024767801857
吉林省,长春市,宽城区,兰家镇,125.2365728,44.0019665,9,6,4,11,43,0,1,1,0,0,2,0,0,0,0,3,4,4,8,2,0,4,2,16,0,0,0,0,0,1,0,0,0,0,1,0,2,2,6425992123,9515278,长春市宽城区,长春市宽城区兰家镇,18.0,28.0,5.0,8.4,59.4,70.8,51.954504504504506,47.34024767801857
吉林省,长春市,宽城区,米沙子镇,125.4663546,44.1400832,10,2,8,16,26,2,0,0,0,1,0,0,1,0,2,5,60,3,5,0,0,4,5,14,1,0,0,0,0,0,0,0,0,0,1,0,2,1,6425992125,9515280,长春市宽城区,长春市宽城区米沙子镇,20.0,24.4,0.0,11.0,55.4,70.8,51.954504504504506,47.34024767801857
吉林省,长春市,宽城区,万宝镇,125.3475825,44.1423794,0,0,6,4,18,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,6,2,10,0,0,0,0,0,0,0,0,0,0,1,1,3,0,6425992129,9515284,长春市宽城区,长春市宽城区万宝镇,16.0,18.6,0.0,0.2,34.800000000000004,70.8,51.954504504504506,47.34024767801857
吉林省,长春市,宽城区,合隆镇,125.1740627,44.0582791,2,14,6,23,93,0,3,0,0,1,1,0,0,0,4,1,143,8,4,2,0,2,7,33,0,1,0,0,0,1,0,0,0,4,1,22,2,2,3249264255,9515276,长春市宽城区,长春市宽城区合隆镇,16.0,26.0,9.0,16.0,67.0,70.8,51.954504504504506,47.34024767801857
