addr_1,addr_2,addr_3,addr_4,lon,lat,road_trunk_3km,road_primary_3km,road_secondary_3km,road_tertiary_3km,road_res_uncl_3km,road_bus_stop_3km,road_parking_3km,road_fuel_3km,amenity_gov_3km,amenity_health_3km,amenity_school_3km,amenity_police_3km,amenity_post_3km,amenity_bank_3km,amenity_shop_3km,places_total_3km,buildings_total_3km,road_types_3km,landuse_types_3km,road_trunk_1km,road_primary_1km,road_secondary_1km,road_tertiary_1km,road_res_uncl_1km,road_bus_stop_1km,road_parking_1km,road_fuel_1km,amenity_gov_1km,amenity_health_1km,amenity_school_1km,amenity_police_1km,amenity_post_1km,amenity_bank_1km,amenity_shop_1km,places_total_1km,buildings_total_1km,road_types_1km,landuse_types_1km,node,boundary,u_addr_3,u_addr_4,score_1,score_2,score_3,score_4,score,u_addr_3_avg_score,addr_2_avg_score,addr_1_avg_score
辽宁省,沈阳市,沈河区,风雨坛街道,123.4347388,41.7854302,29,71,100,63,374,67,8,3,6,17,34,6,0,12,91,13,1941,8,14,6,11,14,8,41,14,1,0,1,1,12,0,0,2,10,1,248,8,4,6480044144,9597070,沈阳市沈河区,沈阳市沈河区风雨坛街道,20.0,30.0,23.0,20.0,93.0,86.18181818181819,46.7585635359116,39.88470675575353
辽宁省,沈阳市,沈河区,皇城街道,123.4485682,41.7956027,32,50,115,117,295,69,5,4,6,9,31,3,1,10,77,15,1819,8,14,4,6,12,15,45,13,1,0,0,1,3,0,0,0,24,2,501,5,4,6480044145,9597071,沈阳市沈河区,沈阳市沈河区皇城街道,20.0,30.0,21.0,20.0,91.0,86.18181818181819,46.7585635359116,39.88470675575353
辽宁省,沈阳市,沈河区,五里河街道,123.4363146,41.7611494,53,65,86,58,264,54,10,4,1,10,16,8,1,13,78,6,1088,9,10,14,21,4,9,50,11,2,0,0,2,6,2,0,1,10,1,69,7,6,6480044151,9597077,沈阳市沈河区,沈阳市沈河区五里河街道,20.0,30.0,28.0,20.0,98.0,86.18181818181819,46.7585635359116,39.88470675575353
辽宁省,沈阳市,沈河区,南塔街道,123.4541751,41.7628317,62,62,72,57,230,50,7,5,2,9,17,4,0,10,55,5,974,8,9,6,6,6,13,44,0,3,1,0,0,5,1,0,0,3,1,41,7,6,6480044147,9597073,沈阳市沈河区,沈阳市沈河区南塔街道,20.0,30.0,18.0,20.0,88.0,86.18181818181819,46.7585635359116,39.88470675575353
辽宁省,沈阳市,沈河区,泉园街道,123.5056879,41.7760915,36,6,29,74,115,7,4,1,1,1,9,0,0,1,2,3,224,7,8,6,4,0,4,13,0,0,0,0,0,0,0,0,0,0,1,0,3,3,6480044148,9597074,沈阳市沈河区,沈阳市沈河区泉园街道,18.0,30.0,5.0,20.0,73.0,86.18181818181819,46.7585635359116,39.88470675575353
辽宁省,沈阳市,沈河区,马官桥街道,123.5564191,41.8244241,49,0,44,34,154,18,1,2,0,0,3,1,0,1,0,3,119,6,11,14,0,6,0,46,3,0,1,0,0,1,0,0,0,0,1,29,4,6,6480044146,9597072,沈阳市沈河区,沈阳市沈河区马官桥街道,18.0,30.0,5.0,20.0,73.0,86.18181818181819,46.7585635359116,39.88470675575353
辽宁省,沈阳市,沈河区,东陵街道,123.5316133,41.8064825,58,0,43,31,153,15,4,3,0,1,4,2,0,1,1,3,190,8,9,19,0,8,7,34,3,0,0,0,0,1,0,0,1,0,1,31,4,4,6480044142,9597068,沈阳市沈河区,沈阳市沈河区东陵街道,18.0,30.0,7.0,20.0,75.0,86.18181818181819,46.7585635359116,39.88470675575353
辽宁省,沈阳市,大东区,大北街道,123.4537739,41.8100976,60,46,125,134,236,69,7,4,7,7,22,1,1,6,65,16,965,7,12,12,16,22,13,26,7,1,1,0,1,4,1,0,0,5,1,37,4,3,6482071670,9599935,沈阳市大东区,沈阳市大东区大北街道,20.0,30.0,25.0,20.0,95.0,75.66,46.7585635359116,39.88470675575353
辽宁省,沈阳市,大东区,万泉街道,123.4704859,41.7905543,45,30,65,70,233,34,5,5,2,8,20,1,0,3,51,11,1345,8,9,8,0,5,7,22,1,0,0,0,2,2,0,0,1,0,1,31,3,4,6482071678,9599943,沈阳市大东区,沈阳市大东区万泉街道,20.0,30.0,17.0,20.0,87.0,75.66,46.7585635359116,39.88470675575353
辽宁省,沈阳市,大东区,文官街道,123.4997568,41.9044583,21,14,8,29,30,1,8,4,0,0,2,0,0,0,0,1,47,4,6,2,0,0,1,21,1,0,0,0,0,0,0,0,0,0,1,1,2,2,6482071679,9599944,沈阳市大东区,沈阳市大东区文官街道,16.0,30.0,0.0,10.8,56.8,75.66,46.7585635359116,39.88470675575353
